gene,n_miss,pct_miss,mean_intensity,mnar_cluster,classification,imputation_reliable,group_miss_pval
PLIN3,0,0,23.6504432329358,NA,Complete,TRUE,NA
KPNA6,17,27.419354838709676,19.989938315853838,0,MAR,TRUE,NA
SNX2,4,6.451612903225806,19.082072004659956,0,MAR,TRUE,NA
USO1,0,0,22.54663999879101,NA,Complete,TRUE,NA
TOM1,0,0,22.497462434436713,NA,Complete,TRUE,NA
PFKFB2,7,11.29032258064516,19.996753296553386,0,MAR,TRUE,NA
EDF1,1,1.6129032258064515,20.00009352126253,0,MAR,TRUE,NA
DNAJA2,0,0,22.853264946392436,NA,Complete,TRUE,NA
CUTA,0,0,21.935549579961233,NA,Complete,TRUE,NA
PFDN1,3,4.838709677419355,19.505545130728382,0,MAR,TRUE,NA
NOL3,0,0,21.63166311720057,NA,Complete,TRUE,NA
WDR1,0,0,23.677126005281327,NA,Complete,TRUE,NA
LDB3,0,0,27.066059647802188,NA,Complete,TRUE,NA
CLASP2,20,32.25806451612903,17.039282170058762,1,MNAR,TRUE,4.997501249375312e-4
COBL,32,51.61290322580645,17.79434741882459,1,MNAR,FALSE,0.02848575712143928
CPNE3,2,3.225806451612903,19.029508396056144,0,MAR,TRUE,NA
CLUH,34,54.83870967741935,17.21647732197638,1,MNAR,FALSE,0.00849575212393803
CAND2,0,0,22.940002761832385,NA,Complete,TRUE,NA
COQ9,0,0,25.05057370154217,NA,Complete,TRUE,NA
GGCT,0,0,20.97653180367425,NA,Complete,TRUE,NA
NDUFS7,0,0,22.696970438378653,NA,Complete,TRUE,NA
RTN2,0,0,25.9319473009454,NA,Complete,TRUE,NA
NDUFS2,0,0,24.61096732611693,NA,Complete,TRUE,NA
NIPSNAP2,0,0,25.829242681795566,NA,Complete,TRUE,NA
CILP,36,58.06451612903226,17.965971594308503,1,MNAR,FALSE,4.997501249375312e-4
TBCA,0,0,21.5384815962393,NA,Complete,TRUE,NA
ATP6V1G1,9,14.516129032258066,16.883089979166495,0,MAR,TRUE,NA
VPS4B,25,40.32258064516129,18.846431533029538,1,MNAR,TRUE,0.00399800099950025
SH3BGRL,7,11.29032258064516,17.088877865713066,0,MAR,TRUE,NA
FLNB,0,0,25.555005025254395,NA,Complete,TRUE,NA
NDUFS6,0,0,24.375863188171675,NA,Complete,TRUE,NA
CS,0,0,26.526116296140877,NA,Complete,TRUE,NA
SEC22B,0,0,18.320672058765734,NA,Complete,TRUE,NA
MTX2,0,0,21.502464283839114,NA,Complete,TRUE,NA
VPS26A,5,8.064516129032258,18.679724451231277,0,MAR,TRUE,NA
NDUFB1,5,8.064516129032258,23.13116930901718,0,MAR,TRUE,NA
PMPCB,9,14.516129032258066,20.015523928049273,0,MAR,TRUE,NA
NDUFS3,0,0,24.020585218128094,NA,Complete,TRUE,NA
ECI2,0,0,23.731510792128358,NA,Complete,TRUE,NA
BANF1,0,0,22.840607634585528,NA,Complete,TRUE,NA
CSDE1,0,0,19.573090524848162,NA,Complete,TRUE,NA
PRKRA,12,19.35483870967742,18.3376138853724,0,MAR,TRUE,NA
LYPLA1,0,0,21.82518442002028,NA,Complete,TRUE,NA
TIPRL,4,6.451612903225806,19.897216865031442,0,MAR,TRUE,NA
PPM1B,5,8.064516129032258,17.819077296274084,0,MAR,TRUE,NA
SLC25A12,0,0,25.13702722150853,NA,Complete,TRUE,NA
TCEA3,26,41.935483870967744,17.48200410198679,1,MNAR,TRUE,4.997501249375312e-4
EIF3G,0,0,19.865050234090244,NA,Complete,TRUE,NA
EIF3J,0,0,22.84597253552919,NA,Complete,TRUE,NA
PSMD10,6,9.67741935483871,20.664680387298848,0,MAR,TRUE,NA
IDH1,0,0,22.605560310918538,NA,Complete,TRUE,NA
SCO1,20,32.25806451612903,22.876060026125728,0,MAR,TRUE,NA
ALDH1L1,0,0,21.30108063124792,NA,Complete,TRUE,NA
ARL6IP5,0,0,24.292565608124008,NA,Complete,TRUE,NA
DYSF,0,0,23.21909663802609,NA,Complete,TRUE,NA
PIAS2,0,0,23.95962443710217,NA,Complete,TRUE,NA
DCTN3,28,45.16129032258064,17.203701406570655,1,MNAR,TRUE,0.01899050474762619
ATP5PD,0,0,26.133007258528014,NA,Complete,TRUE,NA
FLOT1,5,8.064516129032258,18.98642681148106,0,MAR,TRUE,NA
ATP5MG,0,0,26.00794809386541,NA,Complete,TRUE,NA
GLRX3,0,0,18.912091427987637,NA,Complete,TRUE,NA
SNCG,40,64.51612903225806,16.027990825038305,1,MNAR,FALSE,4.997501249375312e-4
DDAH1,0,0,22.297724717170965,NA,Complete,TRUE,NA
TPPP,40,64.51612903225806,16.035975502793402,1,MNAR,FALSE,4.997501249375312e-4
BAIAP3,2,3.225806451612903,23.104944903866308,0,MAR,TRUE,NA
TOMM70,2,3.225806451612903,19.779807187610917,0,MAR,TRUE,NA
UFL1,3,4.838709677419355,16.160078164385194,0,MAR,TRUE,NA
TMEM63A,5,8.064516129032258,19.781185913520773,0,MAR,TRUE,NA
PLPBP,0,0,20.25355190724104,NA,Complete,TRUE,NA
ERLIN2,0,0,23.555125957945553,NA,Complete,TRUE,NA
ENDOD1,0,0,21.106978233417454,NA,Complete,TRUE,NA
SEC31A,16,25.806451612903224,18.249905372002505,1,MNAR,TRUE,4.997501249375312e-4
NDUFB6,0,0,22.273532450392388,NA,Complete,TRUE,NA
MFN2,10,16.129032258064516,17.733263234356393,0,MAR,TRUE,NA
NDUFA3,0,0,22.57015756724004,NA,Complete,TRUE,NA
NDUFB4,0,0,24.017358078568982,NA,Complete,TRUE,NA
NDUFB8,0,0,23.572022069392542,NA,Complete,TRUE,NA
NDUFA7,0,0,23.372927773247614,NA,Complete,TRUE,NA
RTN3,12,19.35483870967742,19.135804698004662,0,MAR,TRUE,NA
LETM1,0,0,21.165654584852334,NA,Complete,TRUE,NA
STBD1,0,0,24.204174840143967,NA,Complete,TRUE,NA
ZRANB2,17,27.419354838709676,20.147321816562705,0,MAR,TRUE,NA
EPM2A,6,9.67741935483871,20.45967998515176,0,MAR,TRUE,NA
VAPB,0,0,23.345631642637205,NA,Complete,TRUE,NA
NDUFC2,0,0,23.15351515559841,NA,Complete,TRUE,NA
NDUFA10,0,0,24.17660363609616,NA,Complete,TRUE,NA
PGLS,7,11.29032258064516,17.633858010877315,0,MAR,TRUE,NA
TACC2,6,9.67741935483871,18.067136818273642,0,MAR,TRUE,NA
LYPLA2,22,35.483870967741936,19.945857417639356,0,MAR,TRUE,NA
IPO7,1,1.6129032258064515,20.152671493267917,0,MAR,TRUE,NA
ARIH2,20,32.25806451612903,19.243130257958043,1,MNAR,TRUE,4.997501249375312e-4
PGM3,4,6.451612903225806,17.317087465659522,0,MAR,TRUE,NA
SVIL,12,19.35483870967742,17.628890361178513,0,MAR,TRUE,NA
AHSA1,5,8.064516129032258,19.12656593977449,0,MAR,TRUE,NA
H6PD,2,3.225806451612903,18.818545190518268,0,MAR,TRUE,NA
MPC2,0,0,22.785808316929387,NA,Complete,TRUE,NA
ETHE1,26,41.935483870967744,17.397416439571426,1,MNAR,TRUE,9.995002498750624e-4
ACSL3,0,0,22.205029817039218,NA,Complete,TRUE,NA
ASMTL,33,53.2258064516129,17.637371625914433,1,MNAR,FALSE,4.997501249375312e-4
CDS2,10,16.129032258064516,18.452800757997423,0,MAR,TRUE,NA
SNAP29,33,53.2258064516129,16.511370827109747,1,MNAR,FALSE,4.997501249375312e-4
OXSR1,0,0,20.628277607018774,NA,Complete,TRUE,NA
LSM8,16,25.806451612903224,18.9447096631219,0,MAR,TRUE,NA
AP2A1,12,19.35483870967742,19.228226134205183,0,MAR,TRUE,NA
CAVIN2,0,0,19.742790928274342,NA,Complete,TRUE,NA
BAG2,14,22.58064516129032,14.612519858269232,1,MNAR,TRUE,0.07796101949025487
BAG3,0,0,23.39957814069958,NA,Complete,TRUE,NA
MLYCD,19,30.64516129032258,16.67530644120904,1,MNAR,TRUE,4.997501249375312e-4
AIFM1,0,0,24.28719991477215,NA,Complete,TRUE,NA
EML2,8,12.903225806451612,20.50174182975066,0,MAR,TRUE,NA
BPNT1,1,1.6129032258064515,18.37881050060905,0,MAR,TRUE,NA
DDAH2,6,9.67741935483871,16.210102807816387,0,MAR,TRUE,NA
ABHD16A,29,46.774193548387096,14.876350685245963,1,MNAR,TRUE,0.0034982508745627187
TXNDC12,40,64.51612903225806,19.114759612599503,1,MNAR,FALSE,0.0029985007496251873
NUDT3,4,6.451612903225806,18.229504971640296,0,MAR,TRUE,NA
NDUFB10,0,0,24.84605010772023,NA,Complete,TRUE,NA
CLPTM1,36,58.06451612903226,15.921432705409599,1,MNAR,FALSE,9.995002498750624e-4
MOCS2,16,25.806451612903224,18.45439778992854,0,MAR,TRUE,NA
TOMM40,1,1.6129032258064515,18.82606231832877,0,MAR,TRUE,NA
PEX11B,24,38.70967741935484,15.097750487300956,1,MNAR,TRUE,0.0074962518740629685
CYB5A,14,22.58064516129032,17.110294218250043,1,MNAR,TRUE,0.04397801099450275
ADH1B,1,1.6129032258064515,21.35327503461276,0,MAR,TRUE,NA
LDHA,0,0,29.159056552487954,NA,Complete,TRUE,NA
ALDH1A1,0,0,23.865133305344916,NA,Complete,TRUE,NA
GLUD1,0,0,21.674005007257552,NA,Complete,TRUE,NA
CYB5R3,0,0,24.517716572878548,NA,Complete,TRUE,NA
GSR,0,0,21.33448589840079,NA,Complete,TRUE,NA
MT-CO1,6,9.67741935483871,21.624058872191235,0,MAR,TRUE,NA
MT-CO2,0,0,26.95549424866777,NA,Complete,TRUE,NA
MT-CO3,5,8.064516129032258,22.67163486978067,0,MAR,TRUE,NA
SOD1,0,0,26.155454822335468,NA,Complete,TRUE,NA
CP,8,12.903225806451612,20.95456967858429,0,MAR,TRUE,NA
F13A1,16,25.806451612903224,18.086865465069614,1,MNAR,TRUE,4.997501249375312e-4
HPRT1,6,9.67741935483871,18.17149392807781,0,MAR,TRUE,NA
GOT2,0,0,27.368405490802658,NA,Complete,TRUE,NA
PGK1,0,0,29.030225877731404,NA,Complete,TRUE,NA
AK1,0,0,28.870402590040758,NA,Complete,TRUE,NA
MT-ATP6,0,0,25.32051962251631,NA,Complete,TRUE,NA
CA2,0,0,27.37127337112866,NA,Complete,TRUE,NA
ASS1,23,37.096774193548384,19.66000781365982,1,MNAR,TRUE,4.997501249375312e-4
CST3,1,1.6129032258064515,20.125226360763104,0,MAR,TRUE,NA
CSTA,18,29.03225806451613,18.218434897323974,1,MNAR,TRUE,0.5527236381809095
JCHAIN,23,37.096774193548384,16.481960663014164,1,MNAR,TRUE,4.997501249375312e-4
HLA-B,19,30.64516129032258,15.559151051174396,1,MNAR,TRUE,4.997501249375312e-4
HLA-DRB1,11,17.741935483870968,19.775061298610435,0,MAR,TRUE,NA
MB,0,0,33.61096493252315,NA,Complete,TRUE,NA
COL1A1,6,9.67741935483871,20.0822298623773,0,MAR,TRUE,NA
COL3A1,3,4.838709677419355,21.195019892413406,0,MAR,TRUE,NA
COL4A1,5,8.064516129032258,21.391539250195308,0,MAR,TRUE,NA
CRYAB,0,0,29.718616954718577,NA,Complete,TRUE,NA
KRT14,1,1.6129032258064515,21.735965224329206,0,MAR,TRUE,NA
LMNA,0,0,22.956568527232697,NA,Complete,TRUE,NA
TNNC2,0,0,27.841822529142622,NA,Complete,TRUE,NA
APOE,17,27.419354838709676,16.801825994950594,1,MNAR,TRUE,4.997501249375312e-4
LRG1,17,27.419354838709676,18.371409486469158,1,MNAR,TRUE,9.995002498750624e-4
FN1,37,59.67741935483871,17.067933140252784,1,MNAR,FALSE,0.001999000499750125
RBP4,28,45.16129032258064,20.393505650679625,1,MNAR,TRUE,4.997501249375312e-4
TTR,0,0,22.8824555593113,NA,Complete,TRUE,NA
TFRC,18,29.03225806451613,16.771769238406264,1,MNAR,TRUE,0.7896051974012993
FTL,7,11.29032258064516,21.382905966482635,0,MAR,TRUE,NA
FTH1,0,0,25.45896107787904,NA,Complete,TRUE,NA
MT2A,0,0,21.710708646101367,NA,Complete,TRUE,NA
MT-ND1,0,0,23.25525074750916,NA,Complete,TRUE,NA
MT-ND2,13,20.967741935483872,20.034533121323,0,MAR,TRUE,NA
MT-ND3,0,0,20.436437182832975,NA,Complete,TRUE,NA
MT-ND4,0,0,21.379824935071635,NA,Complete,TRUE,NA
MT-ND5,0,0,23.120577096166333,NA,Complete,TRUE,NA
MT-ATP8,0,0,22.946225981645487,NA,Complete,TRUE,NA
CAT,0,0,22.459891453190032,NA,Complete,TRUE,NA
ALDOA,0,0,31.48479921306399,NA,Complete,TRUE,NA
CSTB,0,0,24.390136006007474,NA,Complete,TRUE,NA
ANXA1,0,0,21.84232125862287,NA,Complete,TRUE,NA
SOD2,0,0,25.11762210570926,NA,Complete,TRUE,NA
KRT1,0,0,25.52222944287209,NA,Complete,TRUE,NA
VWF,37,59.67741935483871,17.1176624142175,1,MNAR,FALSE,0.0014992503748125937
GAPDH,0,0,31.407764443182003,NA,Complete,TRUE,NA
HLA-A,1,1.6129032258064515,18.237571845105343,0,MAR,TRUE,NA
CAPNS1,0,0,23.064487310633744,NA,Complete,TRUE,NA
HSPB1,0,0,29.53955525600387,NA,Complete,TRUE,NA
RPN1,0,0,21.348898193417792,NA,Complete,TRUE,NA
RPN2,1,1.6129032258064515,20.132359677927344,0,MAR,TRUE,NA
GNAI2,0,0,21.822377962162786,NA,Complete,TRUE,NA
ATP1A1,0,0,23.229659947688788,NA,Complete,TRUE,NA
ATP1B1,0,0,22.820340163821573,NA,Complete,TRUE,NA
APOD,0,0,21.72660555556279,NA,Complete,TRUE,NA
ALDH2,0,0,23.37099659598781,NA,Complete,TRUE,NA
S100A8,1,1.6129032258064515,21.66423984608185,0,MAR,TRUE,NA
SLC25A5,0,0,27.7668299705146,NA,Complete,TRUE,NA
SERPING1,9,14.516129032258066,19.62358577009002,0,MAR,TRUE,NA
PCCA,3,4.838709677419355,19.17906803811219,0,MAR,TRUE,NA
PCCB,6,9.67741935483871,18.298141772567416,0,MAR,TRUE,NA
EIF2S1,0,0,21.894383024774168,NA,Complete,TRUE,NA
RPLP1,0,0,21.113689770963596,NA,Complete,TRUE,NA
RPLP2,0,0,22.95696140398189,NA,Complete,TRUE,NA
RPLP0,0,0,21.259957499026534,NA,Complete,TRUE,NA
FABP3,0,0,28.96594999445978,NA,Complete,TRUE,NA
CLEC3B,15,24.193548387096776,18.676578153924574,0,MAR,TRUE,NA
SSB,14,22.58064516129032,16.550061248668417,1,MNAR,TRUE,0.47276361819090457
ITGB1,0,0,20.169025965423266,NA,Complete,TRUE,NA
KRT18,0,0,24.916836288774647,NA,Complete,TRUE,NA
KRT8,0,0,23.422402977607913,NA,Complete,TRUE,NA
MYL1,0,0,30.428444486090957,NA,Complete,TRUE,NA
GSN,0,0,23.52174178598839,NA,Complete,TRUE,NA
PTMA,16,25.806451612903224,15.021538520567674,1,MNAR,TRUE,4.997501249375312e-4
ATP5F1B,0,0,28.431121951324766,NA,Complete,TRUE,NA
S100A9,1,1.6129032258064515,21.635771569452878,0,MAR,TRUE,NA
S100A6,2,3.225806451612903,24.81538943752623,0,MAR,TRUE,NA
EIF4E,4,6.451612903225806,20.488082725400623,0,MAR,TRUE,NA
CKM,0,0,32.39161486511533,NA,Complete,TRUE,NA
ENO1,0,0,29.940150168529033,NA,Complete,TRUE,NA
PYGL,1,1.6129032258064515,24.318745314323994,0,MAR,TRUE,NA
GPI,0,0,27.4521162824566,NA,Complete,TRUE,NA
NPM1,0,0,22.11950225404832,NA,Complete,TRUE,NA
TPM3,0,0,25.6790564311953,NA,Complete,TRUE,NA
EPHX1,0,0,23.453830218901746,NA,Complete,TRUE,NA
DBI,0,0,25.446459950264625,NA,Complete,TRUE,NA
LDHB,0,0,25.050116027963337,NA,Complete,TRUE,NA
GPX1,0,0,21.750597745179117,NA,Complete,TRUE,NA
P4HB,0,0,24.36990709431378,NA,Complete,TRUE,NA
H1-0,0,0,22.64810722261038,NA,Complete,TRUE,NA
CTSD,0,0,23.26145006466006,NA,Complete,TRUE,NA
ANXA2,0,0,24.433835406521844,NA,Complete,TRUE,NA
CAPN1,0,0,22.831621376219545,NA,Complete,TRUE,NA
TUBB,0,0,26.25264847144285,NA,Complete,TRUE,NA
CA3,0,0,30.95026046042552,NA,Complete,TRUE,NA
DCN,0,0,23.38894276811243,NA,Complete,TRUE,NA
PSAP,0,0,24.127817230528315,NA,Complete,TRUE,NA
PFN1,0,0,25.498910184747857,NA,Complete,TRUE,NA
BPGM,0,0,21.33913362650808,NA,Complete,TRUE,NA
APRT,0,0,21.93934377179742,NA,Complete,TRUE,NA
EPRS1,0,0,21.48141831362606,NA,Complete,TRUE,NA
CTSB,1,1.6129032258064515,20.189031742035144,0,MAR,TRUE,NA
HSP90AA1,0,0,25.922801737178485,NA,Complete,TRUE,NA
UQCRH,0,0,25.05650360542018,NA,Complete,TRUE,NA
TPM2,0,0,27.391457670184746,NA,Complete,TRUE,NA
FH,0,0,25.289123976286987,NA,Complete,TRUE,NA
COL1A2,2,3.225806451612903,19.590201290467142,0,MAR,TRUE,NA
ANXA6,0,0,26.661487111239175,NA,Complete,TRUE,NA
PFKM,0,0,27.620456763337696,NA,Complete,TRUE,NA
HSP90AB1,0,0,24.767193907850736,NA,Complete,TRUE,NA
SOD3,23,37.096774193548384,18.480505137268054,1,MNAR,TRUE,0.019490254872563718
CTSG,38,61.29032258064516,17.97736539913279,1,MNAR,FALSE,0.0014992503748125937
PDHA1,0,0,25.583397956561463,NA,Complete,TRUE,NA
COL4A2,1,1.6129032258064515,21.369612955595052,0,MAR,TRUE,NA
CYC1,0,0,26.881721027468192,NA,Complete,TRUE,NA
MYL3,0,0,28.069919335576802,NA,Complete,TRUE,NA
SNRNP70,44,70.96774193548387,14.617313258075452,1,MNAR,FALSE,4.997501249375312e-4
NFIC,10,16.129032258064516,18.432817112266385,0,MAR,TRUE,NA
VIM,0,0,24.880053435563347,NA,Complete,TRUE,NA
SERPINF2,10,16.129032258064516,18.274489660938535,0,MAR,TRUE,NA
RPS17,5,8.064516129032258,20.81046280969265,0,MAR,TRUE,NA
KRT19,0,0,25.172149336512664,NA,Complete,TRUE,NA
ANXA5,0,0,23.860436404970308,NA,Complete,TRUE,NA
