uniprot_id,protein,gene,description
Q9NUB1,ACS2L_HUMAN,ACSS1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial"
Q9NR19,ACSA_HUMAN,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic"
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle"
P60709,ACTB_HUMAN,ACTB,"Actin, cytoplasmic 1"
P12814,ACTN1_HUMAN,ACTN1,Alpha-actinin-1
P35609,ACTN2_HUMAN,ACTN2,Alpha-actinin-2
Q08043,ACTN3_HUMAN,ACTN3,Alpha-actinin-3
O43707,ACTN4_HUMAN,ACTN4,Alpha-actinin-4
P61163,ACTZ_HUMAN,ACTR1A,Alpha-centractin
P61160,ARP2_HUMAN,ACTR2,Actin-related protein 2
P61158,ARP3_HUMAN,ACTR3,Actin-related protein 3
Q03154,ACY1_HUMAN,ACY1,Aminoacylase-1
P14621,ACYP2_HUMAN,ACYP2,Acylphosphatase-2
P35611,ADDA_HUMAN,ADD1,Alpha-adducin
P00325,ADH1B_HUMAN,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B
P11766,ADHX_HUMAN,ADH5,Alcohol dehydrogenase class-3
Q8IWW8,HOT_HUMAN,ADHFE1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial"
Q9BV57,MTND_HUMAN,ADI1,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
Q15848,ADIPO_HUMAN,ADIPOQ,Adiponectin
Q15847,ADIRF_HUMAN,ADIRF,Adipogenesis regulatory factor
P55263,ADK_HUMAN,ADK,Adenosine kinase
Q8NDY3,ARHL1_HUMAN,ADPRHL1,[Protein ADP-ribosylarginine] hydrolase-like protein 1
Q16186,ADRM1_HUMAN,ADRM1,Proteasomal ubiquitin receptor ADRM1
P30566,PUR8_HUMAN,ADSL,Adenylosuccinate lyase
Q8N142,PURA1_HUMAN,ADSS1,Adenylosuccinate synthetase isozyme 1
P30520,PURA2_HUMAN,ADSS2,Adenylosuccinate synthetase isozyme 2
Q9Y4W6,AFG32_HUMAN,AFG3L2,AFG3-like protein 2
Q53H12,AGK_HUMAN,AGK,"Acylglycerol kinase, mitochondrial"
P35573,GDE_HUMAN,AGL,Glycogen debranching enzyme
Q9BSE5,SPEB_HUMAN,AGMAT,"Agmatinase, mitochondrial"
Q9UKV8,AGO2_HUMAN,AGO2,Protein argonaute-2
P23526,SAHH_HUMAN,AHCY,Adenosylhomocysteinase
O43865,SAHH2_HUMAN,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1
Q96HN2,SAHH3_HUMAN,AHCYL2,Adenosylhomocysteinase 3
Q09666,AHNK_HUMAN,AHNAK,Neuroblast differentiation-associated protein AHNAK
O95433,AHSA1_HUMAN,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1
O95831,AIFM1_HUMAN,AIFM1,"Apoptosis-inducing factor 1, mitochondrial"
Q12904,AIMP1_HUMAN,AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
Q13155,AIMP2_HUMAN,AIMP2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2
P00568,KAD1_HUMAN,AK1,Adenylate kinase isoenzyme 1
P54819,KAD2_HUMAN,AK2,"Adenylate kinase 2, mitochondrial"
Q9UIJ7,KAD3_HUMAN,AK3,"GTP:AMP phosphotransferase AK3, mitochondrial"
Q92667,AKAP1_HUMAN,AKAP1,"A-kinase anchor protein 1, mitochondrial"
Q02952,AKA12_HUMAN,AKAP12,A-kinase anchor protein 12
P14550,AK1A1_HUMAN,AKR1A1,Aldo-keto reductase family 1 member A1
P15121,ALDR_HUMAN,AKR1B1,Aldo-keto reductase family 1 member B1
Q04828,AK1C1_HUMAN,AKR1C1,Aldo-keto reductase family 1 member C1
P52895,AK1C2_HUMAN,AKR1C2,Aldo-keto reductase family 1 member C2
P42330,AK1C3_HUMAN,AKR1C3,Aldo-keto reductase family 1 member C3
O43488,ARK72_HUMAN,AKR7A2,Aflatoxin B1 aldehyde reductase member 2
P31751,AKT2_HUMAN,AKT2,RAC-beta serine/threonine-protein kinase
P13716,HEM2_HUMAN,ALAD,Delta-aminolevulinic acid dehydratase
Q8IZ83,A16A1_HUMAN,ALDH16A1,Aldehyde dehydrogenase family 16 member A1
P00352,AL1A1_HUMAN,ALDH1A1,Retinal dehydrogenase 1
P30837,AL1B1_HUMAN,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial"
O75891,AL1L1_HUMAN,ALDH1L1,Cytosolic 10-formyltetrahydrofolate dehydrogenase
P05091,ALDH2_HUMAN,ALDH2,"Aldehyde dehydrogenase, mitochondrial"
P51648,AL3A2_HUMAN,ALDH3A2,Aldehyde dehydrogenase family 3 member A2
P30038,AL4A1_HUMAN,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"
P51649,SSDH_HUMAN,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial"
Q02252,MMSA_HUMAN,ALDH6A1,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"
P49419,AL7A1_HUMAN,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase
P49189,AL9A1_HUMAN,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A
P09972,ALDOC_HUMAN,ALDOC,Fructose-bisphosphate aldolase C
Q96Q83,ALKB3_HUMAN,ALKBH3,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
Q96L96,ALPK3_HUMAN,ALPK3,Alpha-protein kinase 3
Q86V81,THOC4_HUMAN,ALYREF,THO complex subunit 4
P23109,AMPD1_HUMAN,AMPD1,AMP deaminase 1
Q01432,AMPD3_HUMAN,AMPD3,AMP deaminase 3
P16157,ANK1_HUMAN,ANK1,Ankyrin-1
Q01484,ANK2_HUMAN,ANK2,Ankyrin-2
Q12955,ANK3_HUMAN,ANK3,Ankyrin-3
Q9GZV1,ANKR2_HUMAN,ANKRD2,Ankyrin repeat domain-containing protein 2
P39687,AN32A_HUMAN,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A
P04083,ANXA1_HUMAN,ANXA1,Annexin A1
P50995,ANX11_HUMAN,ANXA11,Annexin A11
P07355,ANXA2_HUMAN,ANXA2,Annexin A2
P12429,ANXA3_HUMAN,ANXA3,Annexin A3
P09525,ANXA4_HUMAN,ANXA4,Annexin A4
P08758,ANXA5_HUMAN,ANXA5,Annexin A5
P08133,ANXA6_HUMAN,ANXA6,Annexin A6
P20073,ANXA7_HUMAN,ANXA7,Annexin A7
Q10567,AP1B1_HUMAN,AP1B1,AP-1 complex subunit beta-1
O43747,AP1G1_HUMAN,AP1G1,AP-1 complex subunit gamma-1
Q9BXS5,AP1M1_HUMAN,AP1M1,AP-1 complex subunit mu-1
O95782,AP2A1_HUMAN,AP2A1,AP-2 complex subunit alpha-1
P63010,AP2B1_HUMAN,AP2B1,AP-2 complex subunit beta
Q96CW1,AP2M1_HUMAN,AP2M1,AP-2 complex subunit mu
P13798,ACPH_HUMAN,APEH,Acylamino-acid-releasing enzyme
P27695,APEX1_HUMAN,APEX1,DNA-(apurinic or apyrimidinic site) lyase
Q9HDC9,APMAP_HUMAN,APMAP,Adipocyte plasma membrane-associated protein
Q9Y235,ABEC2_HUMAN,APOBEC2,C->U-editing enzyme APOBEC-2
P05090,APOD_HUMAN,APOD,Apolipoprotein D
P02649,APOE_HUMAN,APOE,Apolipoprotein E
Q9BQE5,APOL2_HUMAN,APOL2,Apolipoprotein L2
Q9BUR5,MIC26_HUMAN,APOO,MICOS complex subunit MIC26
Q6UXV4,MIC27_HUMAN,APOOL,MICOS complex subunit MIC27
Q9UKG1,DP13A_HUMAN,APPL1,DCC-interacting protein 13-alpha
P07741,APT_HUMAN,APRT,Adenine phosphoribosyltransferase
P10398,ARAF_HUMAN,ARAF,Serine/threonine-protein kinase A-Raf
P48444,COPD_HUMAN,ARCN1,Coatomer subunit delta
P84077,ARF1_HUMAN,ARF1,ADP-ribosylation factor 1
P18085,ARF4_HUMAN,ARF4,ADP-ribosylation factor 4
P84085,ARF5_HUMAN,ARF5,ADP-ribosylation factor 5
Q07960,RHG01_HUMAN,ARHGAP1,Rho GTPase-activating protein 1
P52565,GDIR1_HUMAN,ARHGDIA,Rho GDP-dissociation inhibitor 1
P52566,GDIR2_HUMAN,ARHGDIB,Rho GDP-dissociation inhibitor 2
Q9Y4X5,ARI1_HUMAN,ARIH1,E3 ubiquitin-protein ligase ARIH1
O95376,ARI2_HUMAN,ARIH2,E3 ubiquitin-protein ligase ARIH2
P40616,ARL1_HUMAN,ARL1,ADP-ribosylation factor-like protein 1
P36405,ARL3_HUMAN,ARL3,ADP-ribosylation factor-like protein 3
O75915,PRAF3_HUMAN,ARL6IP5,PRA1 family protein 3
Q9NVJ2,ARL8B_HUMAN,ARL8B,ADP-ribosylation factor-like protein 8B
Q9H993,ARMT1_HUMAN,ARMT1,Damage-control phosphatase ARMT1
Q92747,ARC1A_HUMAN,ARPC1A,Actin-related protein 2/3 complex subunit 1A
O15143,ARC1B_HUMAN,ARPC1B,Actin-related protein 2/3 complex subunit 1B
O15144,ARPC2_HUMAN,ARPC2,Actin-related protein 2/3 complex subunit 2
P59998,ARPC4_HUMAN,ARPC4,Actin-related protein 2/3 complex subunit 4
O15511,ARPC5_HUMAN,ARPC5,Actin-related protein 2/3 complex subunit 5
Q9BPX5,ARP5L_HUMAN,ARPC5L,Actin-related protein 2/3 complex subunit 5-like protein
P56211,ARP19_HUMAN,ARPP19,cAMP-regulated phosphoprotein 19
Q13508,NAR3_HUMAN,ART3,Ecto-ADP-ribosyltransferase 3
Q13510,ASAH1_HUMAN,ASAH1,Acid ceramidase
O95671,ASML_HUMAN,ASMTL,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein
P45381,ACY2_HUMAN,ASPA,Aspartoacylase
Q12797,ASPH_HUMAN,ASPH,Aspartyl/asparaginyl beta-hydroxylase
Q9BZE9,ASPC1_HUMAN,ASPSCR1,Tether containing UBX domain for GLUT4
P00966,ASSY_HUMAN,ASS1,Argininosuccinate synthase
Q8NBU5,ATAD1_HUMAN,ATAD1,ATPase family AAA domain-containing protein 1
Q9NVI7,ATD3A_HUMAN,ATAD3A,ATPase family AAA domain-containing protein 3A
P31939,PUR9_HUMAN,ATIC,Bifunctional purine biosynthesis protein PURH
Q8NHH9,ATLA2_HUMAN,ATL2,Atlastin-2
P05023,AT1A1_HUMAN,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1
P50993,AT1A2_HUMAN,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2
P05026,AT1B1_HUMAN,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1
O14983,AT2A1_HUMAN,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
P16615,AT2A2_HUMAN,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
Q93084,AT2A3_HUMAN,ATP2A3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3
P20020,AT2B1_HUMAN,ATP2B1,Plasma membrane calcium-transporting ATPase 1
P23634,AT2B4_HUMAN,ATP2B4,Plasma membrane calcium-transporting ATPase 4
P25705,ATPA_HUMAN,ATP5F1A,"ATP synthase subunit alpha, mitochondrial"
P06576,ATPB_HUMAN,ATP5F1B,"ATP synthase subunit beta, mitochondrial"
P36542,ATPG_HUMAN,ATP5F1C,"ATP synthase subunit gamma, mitochondrial"
P30049,ATPD_HUMAN,ATP5F1D,"ATP synthase subunit delta, mitochondrial"
P56381,ATP5E_HUMAN,ATP5F1E,"ATP synthase subunit epsilon, mitochondrial"
Q9UII2,ATIF1_HUMAN,ATP5IF1,"ATPase inhibitor, mitochondrial"
P56385,ATP5I_HUMAN,ATP5ME,"ATP synthase subunit e, mitochondrial"
P56134,ATPK_HUMAN,ATP5MF,"ATP synthase subunit f, mitochondrial"
O75964,ATP5L_HUMAN,ATP5MG,"ATP synthase subunit g, mitochondrial"
P24539,AT5F1_HUMAN,ATP5PB,"ATP synthase F(0) complex subunit B1, mitochondrial"
O75947,ATP5H_HUMAN,ATP5PD,"ATP synthase subunit d, mitochondrial"
P18859,ATP5J_HUMAN,ATP5PF,"ATP synthase-coupling factor 6, mitochondrial"
P48047,ATPO_HUMAN,ATP5PO,"ATP synthase subunit O, mitochondrial"
P38606,VATA_HUMAN,ATP6V1A,V-type proton ATPase catalytic subunit A
P21281,VATB2_HUMAN,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform"
P36543,VATE1_HUMAN,ATP6V1E1,V-type proton ATPase subunit E 1
O75348,VATG1_HUMAN,ATP6V1G1,V-type proton ATPase subunit G 1
Q9UI12,VATH_HUMAN,ATP6V1H,V-type proton ATPase subunit H
Q8N5M1,ATPF2_HUMAN,ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2
Q9UBB4,ATX10_HUMAN,ATXN10,Ataxin-10
Q13825,AUHM_HUMAN,AUH,"Methylglutaconyl-CoA hydratase, mitochondrial"
P25311,ZA2G_HUMAN,AZGP1,Zinc-alpha-2-glycoprotein
P61769,B2MG_HUMAN,B2M,Beta-2-microglobulin
Q9NWV8,BABA1_HUMAN,BABAM1,BRISC and BRCA1-A complex member 1
Q9NXR7,BABA2_HUMAN,BABAM2,BRISC and BRCA1-A complex member 2
O95816,BAG2_HUMAN,BAG2,BAG family molecular chaperone regulator 2
O95817,BAG3_HUMAN,BAG3,BAG family molecular chaperone regulator 3
P46379,BAG6_HUMAN,BAG6,Large proline-rich protein BAG6
O94812,BAIP3_HUMAN,BAIAP3,BAI1-associated protein 3
O75531,BAF_HUMAN,BANF1,Barrier-to-autointegration factor
Q96RK4,BBS4_HUMAN,BBS4,Bardet-Biedl syndrome 4 protein
P50895,BCAM_HUMAN,BCAM,Basal cell adhesion molecule
Q9UHQ4,BAP29_HUMAN,BCAP29,B-cell receptor-associated protein 29
P51572,BAP31_HUMAN,BCAP31,B-cell receptor-associated protein 31
O15382,BCAT2_HUMAN,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial"
P12694,ODBA_HUMAN,BCKDHA,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"
Q9BXK5,B2L13_HUMAN,BCL2L13,Bcl-2-like protein 13
Q9BYV7,BCDO2_HUMAN,BCO2,"Beta,beta-carotene 9',10'-oxygenase"
Q9Y276,BCS1_HUMAN,BCS1L,Mitochondrial chaperone BCS1
Q02338,BDH_HUMAN,BDH1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"
P21810,PGS1_HUMAN,BGN,Biglycan
O00499,BIN1_HUMAN,BIN1,Myc box-dependent-interacting protein 1
Q13867,BLMH_HUMAN,BLMH,Bleomycin hydrolase
P53004,BIEA_HUMAN,BLVRA,Biliverdin reductase A
P30043,BLVRB_HUMAN,BLVRB,Flavin reductase (NADPH)
Q9H3K6,BOLA2_HUMAN,BOLA2,BolA-like protein 2
P07738,PMGE_HUMAN,BPGM,Bisphosphoglycerate mutase
O95861,BPNT1_HUMAN,BPNT1,"3'(2'),5'-bisphosphate nucleotidase 1"
Q5VW32,BROX_HUMAN,BROX,BRO1 domain-containing protein BROX
P35613,BASI_HUMAN,BSG,Basigin
Q10589,BST2_HUMAN,BST2,Bone marrow stromal antigen 2
P20290,BTF3_HUMAN,BTF3,Transcription factor BTF3
Q96K17,BT3L4_HUMAN,BTF3L4,Transcription factor BTF3 homolog 4
O43684,BUB3_HUMAN,BUB3,Mitotic checkpoint protein BUB3
Q7L1Q6,BZW1_HUMAN,BZW1,Basic leucine zipper and W2 domain-containing protein 1
Q9Y6E2,BZW2_HUMAN,BZW2,Basic leucine zipper and W2 domain-containing protein 2
Q9H0W9,CK054_HUMAN,C11orf54,Ester hydrolase C11orf54
Q9H3H3,CK068_HUMAN,C11orf68,UPF0696 protein C11orf68
Q07021,C1QBP_HUMAN,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial"
Q5SQH8,CF136_HUMAN,C6orf136,Uncharacterized protein C6orf136
P00918,CAH2_HUMAN,CA2,Carbonic anhydrase 2
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3
Q9Y376,CAB39_HUMAN,CAB39,Calcium-binding protein 39
Q13698,CAC1S_HUMAN,CACNA1S,Voltage-dependent L-type calcium channel subunit alpha-1S
P54289,CA2D1_HUMAN,CACNA2D1,Voltage-dependent calcium channel subunit alpha-2/delta-1
Q02641,CACB1_HUMAN,CACNB1,Voltage-dependent L-type calcium channel subunit beta-1
P54284,CACB3_HUMAN,CACNB3,Voltage-dependent L-type calcium channel subunit beta-3
Q06432,CCG1_HUMAN,CACNG1,Voltage-dependent calcium channel gamma-1 subunit
Q9HB71,CYBP_HUMAN,CACYBP,Calcyclin-binding protein
Q05682,CALD1_HUMAN,CALD1,Caldesmon
P0DP23,CALM1_HUMAN,CALM1,Calmodulin-1
P27797,CALR_HUMAN,CALR,Calreticulin
O43852,CALU_HUMAN,CALU,Calumenin
Q9UQM7,KCC2A_HUMAN,CAMK2A,Calcium/calmodulin-dependent protein kinase type II subunit alpha
Q13554,KCC2B_HUMAN,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta
Q13557,KCC2D_HUMAN,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta
Q13555,KCC2G_HUMAN,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma
Q86VP6,CAND1_HUMAN,CAND1,Cullin-associated NEDD8-dissociated protein 1
O75155,CAND2_HUMAN,CAND2,Cullin-associated NEDD8-dissociated protein 2
P27824,CALX_HUMAN,CANX,Calnexin
Q01518,CAP1_HUMAN,CAP1,Adenylyl cyclase-associated protein 1
P40123,CAP2_HUMAN,CAP2,Adenylyl cyclase-associated protein 2
P40121,CAPG_HUMAN,CAPG,Macrophage-capping protein
P07384,CAN1_HUMAN,CAPN1,Calpain-1 catalytic subunit
P17655,CAN2_HUMAN,CAPN2,Calpain-2 catalytic subunit
P20807,CAN3_HUMAN,CAPN3,Calpain-3
P04632,CPNS1_HUMAN,CAPNS1,Calpain small subunit 1
Q14444,CAPR1_HUMAN,CAPRIN1,Caprin-1
P52907,CAZA1_HUMAN,CAPZA1,F-actin-capping protein subunit alpha-1
P47755,CAZA2_HUMAN,CAPZA2,F-actin-capping protein subunit alpha-2
P47756,CAPZB_HUMAN,CAPZB,F-actin-capping protein subunit beta
Q86X55,CARM1_HUMAN,CARM1,Histone-arginine methyltransferase CARM1
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1
P49589,SYCC_HUMAN,CARS1,"Cysteine--tRNA ligase, cytoplasmic"
Q9HA77,SYCM_HUMAN,CARS2,"Probable cysteine--tRNA ligase, mitochondrial"
P31415,CASQ1_HUMAN,CASQ1,Calsequestrin-1
O14958,CASQ2_HUMAN,CASQ2,Calsequestrin-2
P20810,ICAL_HUMAN,CAST,Calpastatin
P04040,CATA_HUMAN,CAT,Catalase
Q03135,CAV1_HUMAN,CAV1,Caveolin-1
P51636,CAV2_HUMAN,CAV2,Caveolin-2
Q6NZI2,CAVN1_HUMAN,CAVIN1,Caveolae-associated protein 1
O95810,CAVN2_HUMAN,CAVIN2,Caveolae-associated protein 2
Q5BKX8,CAVN4_HUMAN,CAVIN4,Caveolae-associated protein 4
P16152,CBR1_HUMAN,CBR1,Carbonyl reductase [NADPH] 1
Q8N4T8,CBR4_HUMAN,CBR4,Carbonyl reductase family member 4
Q13185,CBX3_HUMAN,CBX3,Chromobox protein homolog 3
Q96CT7,CC124_HUMAN,CCDC124,Coiled-coil domain-containing protein 124
Q6PK04,CC137_HUMAN,CCDC137,Coiled-coil domain-containing protein 137
Q96A33,CCD47_HUMAN,CCDC47,Coiled-coil domain-containing protein 47
P78371,TCPB_HUMAN,CCT2,T-complex protein 1 subunit beta
P49368,TCPG_HUMAN,CCT3,T-complex protein 1 subunit gamma
P50991,TCPD_HUMAN,CCT4,T-complex protein 1 subunit delta
P48643,TCPE_HUMAN,CCT5,T-complex protein 1 subunit epsilon
P40227,TCPZ_HUMAN,CCT6A,T-complex protein 1 subunit zeta
Q99832,TCPH_HUMAN,CCT7,T-complex protein 1 subunit eta
P50990,TCPQ_HUMAN,CCT8,T-complex protein 1 subunit theta
P48509,CD151_HUMAN,CD151,CD151 antigen
P16671,CD36_HUMAN,CD36,Platelet glycoprotein 4
P28907,CD38_HUMAN,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
Q08722,CD47_HUMAN,CD47,Leukocyte surface antigen CD47
P13987,CD59_HUMAN,CD59,CD59 glycoprotein
P60033,CD81_HUMAN,CD81,CD81 antigen
P14209,CD99_HUMAN,CD99,CD99 antigen
P49427,UB2R1_HUMAN,CDC34,Ubiquitin-conjugating enzyme E2 R1
Q16543,CDC37_HUMAN,CDC37,Hsp90 co-chaperone Cdc37
P60953,CDC42_HUMAN,CDC42,Cell division control protein 42 homolog
P55290,CAD13_HUMAN,CDH13,Cadherin-13
O95674,CDS2_HUMAN,CDS2,Phosphatidate cytidylyltransferase 2
Q9UKY7,CDV3_HUMAN,CDV3,Protein CDV3 homolog
Q92879,CELF1_HUMAN,CELF1,CUGBP Elav-like family member 1
O00748,EST2_HUMAN,CES2,Cocaine esterase
P23528,COF1_HUMAN,CFL1,Cofilin-1
Q9Y281,COF2_HUMAN,CFL2,Cofilin-2
Q9Y6H1,CHCH2_HUMAN,CHCHD2,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2
Q9NX63,MIC19_HUMAN,CHCHD3,MICOS complex subunit MIC19
Q8N4Q1,MIA40_HUMAN,CHCHD4,Mitochondrial intermembrane space import and assembly protein 40
Q9BUK0,CHCH7_HUMAN,CHCHD7,Coiled-coil-helix-coiled-coil-helix domain-containing protein 7
Q8NE62,CHDH_HUMAN,CHDH,"Choline dehydrogenase, mitochondrial"
Q7LBR1,CHM1B_HUMAN,CHMP1B,Charged multivesicular body protein 1b
O43633,CHM2A_HUMAN,CHMP2A,Charged multivesicular body protein 2a
Q9UQN3,CHM2B_HUMAN,CHMP2B,Charged multivesicular body protein 2b
Q9H444,CHM4B_HUMAN,CHMP4B,Charged multivesicular body protein 4b
Q9NZZ3,CHMP5_HUMAN,CHMP5,Charged multivesicular body protein 5
Q96FZ7,CHMP6_HUMAN,CHMP6,Charged multivesicular body protein 6
Q99653,CHP1_HUMAN,CHP1,Calcineurin B homologous protein 1
O75339,CILP1_HUMAN,CILP,Cartilage intermediate layer protein 1
Q9NZ45,CISD1_HUMAN,CISD1,CDGSH iron-sulfur domain-containing protein 1
Q8N5K1,CISD2_HUMAN,CISD2,CDGSH iron-sulfur domain-containing protein 2
Q07065,CKAP4_HUMAN,CKAP4,Cytoskeleton-associated protein 4
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type
P17540,KCRS_HUMAN,CKMT2,"Creatine kinase S-type, mitochondrial"
O75122,CLAP2_HUMAN,CLASP2,CLIP-associating protein 2
Q96S66,CLCC1_HUMAN,CLCC1,Chloride channel CLIC-like protein 1
P05452,TETN_HUMAN,CLEC3B,Tetranectin
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1
Q9Y696,CLIC4_HUMAN,CLIC4,Chloride intracellular channel protein 4
Q9NZA1,CLIC5_HUMAN,CLIC5,Chloride intracellular channel protein 5
Q14677,EPN4_HUMAN,CLINT1,Clathrin interactor 1
P30622,CLIP1_HUMAN,CLIP1,CAP-Gly domain-containing linker protein 1
Q9UDT6,CLIP2_HUMAN,CLIP2,CAP-Gly domain-containing linker protein 2
Q9H078,CLPB_HUMAN,CLPB,Caseinolytic peptidase B protein homolog
Q16740,CLPP_HUMAN,CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial"
O96005,CLPT1_HUMAN,CLPTM1,Cleft lip and palate transmembrane protein 1
P09497,CLCB_HUMAN,CLTB,Clathrin light chain B
Q00610,CLH1_HUMAN,CLTC,Clathrin heavy chain 1
P10909,CLUS_HUMAN,CLU,Clusterin
O75153,CLU_HUMAN,CLUH,Clustered mitochondria protein homolog
Q96DG6,CMBL_HUMAN,CMBL,Carboxymethylenebutenolidase homolog
Q9NRP2,COXM2_HUMAN,CMC2,COX assembly mitochondrial protein 2 homolog
P30085,KCY_HUMAN,CMPK1,UMP-CMP kinase
Q8N3K9,CMYA5_HUMAN,CMYA5,Cardiomyopathy-associated protein 5
P62633,CNBP_HUMAN,CNBP,Cellular nucleic acid-binding protein
