gene,pathway,database,cluster
LAMB2,extracellular structure organization,GO:BP,C1
SEC13,Unmapped,NA,C1
HNRNPH2,RNA splicing,GO:BP,C1
SH3BGR,HALLMARK_MYOGENESIS,Hallmark,C1
EIF6,rRNA processing,GO:BP,C1
EEFSEC,Unmapped,NA,C1
EIF3E,negative regulation of translation,GO:BP,C1
GABARAPL2,HALLMARK_MYOGENESIS,Hallmark,C1
MYL6,skeletal muscle tissue development,GO:BP,C1
ACTB,cytoskeleton organization,GO:BP,C1
RAB5B,Unmapped,NA,C1
RPS3A,translational initiation,GO:BP,C1
RPL15,Unmapped,NA,C1
RPL37A,Unmapped,NA,C1
DAD1,Unmapped,NA,C1
RRAS2,Unmapped,NA,C1
PPP1CA,chromatin remodeling,GO:BP,C1
PPP1CB,chromatin remodeling,GO:BP,C1
UBE2G1,Unmapped,NA,C1
RPS14,rRNA processing,GO:BP,C1
RPS18,Unmapped,NA,C1
SNRPD2,RNA splicing,GO:BP,C1
CNBP,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
RPL23A,Unmapped,NA,C1
H2BC4,chromatin remodeling,GO:BP,C1
RPL23,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
RPS15,rRNA processing,GO:BP,C1
RPS28,rRNA processing,GO:BP,C1
RPL30,Unmapped,NA,C1
RPL31,Unmapped,NA,C1
RPL10A,Unmapped,NA,C1
RPL32,Unmapped,NA,C1
RPL8,Unmapped,NA,C1
GRB2,cytoskeleton organization,GO:BP,C1
RPS21,rRNA processing,GO:BP,C1
RACK1,negative regulation of translation,GO:BP,C1
TNNC1,HALLMARK_MYOGENESIS,Hallmark,C1
ACTA1,HALLMARK_MYOGENESIS,Hallmark,C1
CSNK2A1,chromatin remodeling,GO:BP,C1
EIF4G2,translational initiation,GO:BP,C1
RPL24,axon guidance,GO:BP,C1
ERH,Unmapped,NA,C1
RPL19,Unmapped,NA,C1
SRSF3,RNA splicing,GO:BP,C1
H3-3A,chromatin remodeling,GO:BP,C1
FBLN2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
HSPG2,anatomical structure formation involved in morphogenesis,GO:BP,C1
RBM3,RNA splicing,GO:BP,C1
MPP1,Unmapped,NA,C1
HDLBP,Unmapped,NA,C1
PURA,negative regulation of translation,GO:BP,C1
SORD,Unmapped,NA,C1
MYBPC1,sarcomere organization,GO:BP,C1
SET,chromatin remodeling,GO:BP,C1
CAP1,cytoskeleton organization,GO:BP,C1
TAGLN,HALLMARK_MYOGENESIS,Hallmark,C1
RPL18A,Unmapped,NA,C1
RPL6,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
CAV1,anatomical structure formation involved in morphogenesis,GO:BP,C1
LMNB2,cytoskeleton organization,GO:BP,C1
PRKCQ,axon guidance,GO:BP,C1
YWHAH,HALLMARK_APICAL_JUNCTION,Hallmark,C1
CALD1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
RPL18,Unmapped,NA,C1
DPT,extracellular structure organization,GO:BP,C1
SRSF1,RNA splicing,GO:BP,C1
ACTN3,HALLMARK_MYOGENESIS,Hallmark,C1
PPP3CA,chromatin remodeling,GO:BP,C1
SLC20A2,tissue development,GO:BP,C1
LMOD3,cytoskeleton organization,GO:BP,C1
NEXN,cytoskeleton organization,GO:BP,C1
BST2,cytoskeleton organization,GO:BP,C1
ASPH,system process,GO:BP,C1
TRDN,cytoskeleton organization,GO:BP,C1
MYBPH,HALLMARK_MYOGENESIS,Hallmark,C1
G3BP1,chromatin remodeling,GO:BP,C1
EIF3I,translational initiation,GO:BP,C1
CTBP1,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
SNTB2,Unmapped,NA,C1
SF3B2,RNA splicing,GO:BP,C1
MTM1,cytoskeleton organization,GO:BP,C1
CAMK2G,system process,GO:BP,C1
FHL3,cytoskeleton organization,GO:BP,C1
ITGA7,HALLMARK_MYOGENESIS,Hallmark,C1
MOGS,Unmapped,NA,C1
DDX39B,chromatin remodeling,GO:BP,C1
NID2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1
UBAP2L,Unmapped,NA,C1
FLOT2,tissue development,GO:BP,C1
MYBPC2,sarcomere organization,GO:BP,C1
CAPRIN1,negative regulation of translation,GO:BP,C1
MVP,Unmapped,NA,C1
LASP1,Unmapped,NA,C1
EMC2,Unmapped,NA,C1
PGM5,cytoskeleton organization,GO:BP,C1
NECTIN1,anatomical structure formation involved in morphogenesis,GO:BP,C1
NONO,RNA splicing,GO:BP,C1
RAB35,Unmapped,NA,C1
PCBP2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
ELOC,negative regulation of gene expression,GO:BP,C1
ELOB,negative regulation of gene expression,GO:BP,C1
SF1,RNA splicing,GO:BP,C1
SPEG,HALLMARK_MYOGENESIS,Hallmark,C1
NEDD8,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
RBBP7,chromatin remodeling,GO:BP,C1
FLG2,tissue development,GO:BP,C1
NOMO2,Unmapped,NA,C1
WDR44,Unmapped,NA,C1
HP1BP3,chromatin remodeling,GO:BP,C1
DDI2,Unmapped,NA,C1
OBSCN,sarcomere organization,GO:BP,C1
MYOM3,sarcomere organization,GO:BP,C1
BROX,Unmapped,NA,C1
CRYBG3,system process,GO:BP,C1
ABLIM2,cytoskeleton organization,GO:BP,C1
TWF2,cytoskeleton organization,GO:BP,C1
SLC25A24,Unmapped,NA,C1
LPCAT3,system process,GO:BP,C1
SFXN4,Unmapped,NA,C1
LMOD2,sarcomere organization,GO:BP,C1
CCDC137,Unmapped,NA,C1
CORO6,cytoskeleton organization,GO:BP,C1
NAPRT,Unmapped,NA,C1
UBN2,Unmapped,NA,C1
XIRP1,cytoskeleton organization,GO:BP,C1
SND1,negative regulation of gene expression,GO:BP,C1
SZRD1,Unmapped,NA,C1
HDGFL2,chromatin remodeling,GO:BP,C1
MYPN,sarcomere organization,GO:BP,C1
SRL,Unmapped,NA,C1
ACOT1,Unmapped,NA,C1
MDP1,chromatin remodeling,GO:BP,C1
SYNPO,cytoskeleton organization,GO:BP,C1
SMYD1,chromatin remodeling,GO:BP,C1
SERBP1,negative regulation of translation,GO:BP,C1
NPLOC4,negative regulation of gene expression,GO:BP,C1
SPATA20,Unmapped,NA,C1
SPPL2A,Unmapped,NA,C1
PREX1,cytoskeleton organization,GO:BP,C1
MYOZ3,Unmapped,NA,C1
UTP15,rRNA processing,GO:BP,C1
PCNP,Unmapped,NA,C1
PALLD,cytoskeleton organization,GO:BP,C1
TTN,sarcomere organization,GO:BP,C1
DDX1,chromatin remodeling,GO:BP,C1
HSPH1,Unmapped,NA,C1
MYO18A,cytoskeleton organization,GO:BP,C1
RABGGTA,system process,GO:BP,C1
TFG,Unmapped,NA,C1
RPL3L,tissue development,GO:BP,C1
RPL36AL,Unmapped,NA,C1
MTARC2,Unmapped,NA,C1
CCDC47,Unmapped,NA,C1
NUDT16,rRNA processing,GO:BP,C1
MRRF,Unmapped,NA,C1
PDLIM5,cytoskeleton organization,GO:BP,C1
CRELD1,tissue development,GO:BP,C1
PGAM5,chromatin remodeling,GO:BP,C1
NGLY1,Unmapped,NA,C1
PURB,negative regulation of translation,GO:BP,C1
PLEKHF1,Unmapped,NA,C1
MYCBP,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
ARPC5L,cytoskeleton organization,GO:BP,C1
MACROD1,Unmapped,NA,C1
JPH2,tissue development,GO:BP,C1
CORO1B,cytoskeleton organization,GO:BP,C1
PELO,tissue development,GO:BP,C1
NTMT1,cytoskeleton organization,GO:BP,C1
SORBS1,HALLMARK_MYOGENESIS,Hallmark,C1
NAA15,anatomical structure formation involved in morphogenesis,GO:BP,C1
OSBPL1A,Unmapped,NA,C1
EIF2A,translational initiation,GO:BP,C1
TRIM54,cytoskeleton organization,GO:BP,C1
UBL5,RNA splicing,GO:BP,C1
TMEM38A,system process,GO:BP,C1
MOB1A,Unmapped,NA,C1
SYNPO2L,sarcomere organization,GO:BP,C1
LRRC40,Unmapped,NA,C1
TNS1,Unmapped,NA,C1
PLGRKT,Unmapped,NA,C1
JPH1,Unmapped,NA,C1
SSU72,chromatin remodeling,GO:BP,C1
MYOZ1,HALLMARK_MYOGENESIS,Hallmark,C1
MYOZ2,sarcomere organization,GO:BP,C1
OSGEP,Unmapped,NA,C1
PDLIM7,HALLMARK_MYOGENESIS,Hallmark,C1
PARVA,cytoskeleton organization,GO:BP,C1
BABAM1,chromatin remodeling,GO:BP,C1
BABAM2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
TECR,Unmapped,NA,C1
TMOD4,cytoskeleton organization,GO:BP,C1
CHMP5,cytoskeleton organization,GO:BP,C1
VAPA,Unmapped,NA,C1
RNF7,Unmapped,NA,C1
MYOT,axon guidance,GO:BP,C1
DNAJB4,regulation of nucleobase-containing compound metabolic process,GO:BP,C1
TES,Unmapped,NA,C1
PACSIN3,cytoskeleton organization,GO:BP,C1
AGO2,anatomical structure formation involved in morphogenesis,GO:BP,C1
MYH2,HALLMARK_MYOGENESIS,Hallmark,C1
MYH13,system process,GO:BP,C1
SYNPO2,cytoskeleton organization,GO:BP,C1
SNX12,negative regulation of gene expression,GO:BP,C1
G3BP2,Unmapped,NA,C1
PACSIN2,cytoskeleton organization,GO:BP,C1
PPP6R1,Unmapped,NA,C1
PA2G4,rRNA processing,GO:BP,C1
RTRAF,RNA splicing,GO:BP,C1
APOBEC2,chromatin remodeling,GO:BP,C1
CFL2,sarcomere organization,GO:BP,C1
FNDC3A,tissue development,GO:BP,C1
TMX2,Unmapped,NA,C1
CAB39,Unmapped,NA,C1
RTCB,RNA splicing,GO:BP,C1
RPL36,Unmapped,NA,C1
SNX5,system process,GO:BP,C1
MYH4,HALLMARK_MYOGENESIS,Hallmark,C1
ESYT2,endomembrane system organization,GO:BP,C2
ILVBL,Unmapped,NA,C2
CARNS1,Unmapped,NA,C2
NACA,negative regulation of apoptotic process,GO:BP,C2
MYO1C,establishment of organelle localization,GO:BP,C2
FXYD1,regulation of protein metabolic process,GO:BP,C2
PSMD11,Unmapped,NA,C2
PSMD12,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
CLIC1,Unmapped,NA,C2
EIF3F,cytoplasmic translation,GO:BP,C2
DCTN6,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
IPO5,regulation of protein metabolic process,GO:BP,C2
PSMD14,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
BIN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
KPNA3,Unmapped,NA,C2
HSPB6,chaperone-mediated protein folding,GO:BP,C2
PRMT5,endomembrane system organization,GO:BP,C2
PSMA7,Unmapped,NA,C2
CASQ2,Unmapped,NA,C2
HGS,establishment of organelle localization,GO:BP,C2
ARPC1B,Unmapped,NA,C2
PGRMC2,Unmapped,NA,C2
SURF4,endomembrane system organization,GO:BP,C2
PMM2,Unmapped,NA,C2
EIF3H,regulation of protein metabolic process,GO:BP,C2
STX7,regulation of cellular localization,GO:BP,C2
CYB5B,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
DYNC1LI2,Unmapped,NA,C2
PSMD3,regulation of protein metabolic process,GO:BP,C2
TXNL1,Unmapped,NA,C2
TRAPPC3,establishment of organelle localization,GO:BP,C2
GSTZ1,Unmapped,NA,C2
SYNGR2,endomembrane system organization,GO:BP,C2
NARS1,Unmapped,NA,C2
CALU,Unmapped,NA,C2
AHCYL1,Unmapped,NA,C2
PPP1R12B,Unmapped,NA,C2
SPAG9,Unmapped,NA,C2
SYNCRIP,regulation of protein metabolic process,GO:BP,C2
KLHL41,Unmapped,NA,C2
PLIN3,Unmapped,NA,C2
KPNA6,Unmapped,NA,C2
EDF1,Unmapped,NA,C2
DNAJA2,response to heat,GO:BP,C2
CUTA,Unmapped,NA,C2
WDR1,positive regulation of cellular component organization,GO:BP,C2
CPNE3,Unmapped,NA,C2
CAND2,Unmapped,NA,C2
RTN2,regulation of protein metabolic process,GO:BP,C2
ATP6V1G1,Unmapped,NA,C2
FLNB,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
SEC22B,regulation of protein metabolic process,GO:BP,C2
VPS26A,Unmapped,NA,C2
EIF3G,cytoplasmic translation,GO:BP,C2
ARL6IP5,Unmapped,NA,C2
DYSF,Unmapped,NA,C2
GLRX3,Unmapped,NA,C2
TMEM63A,Unmapped,NA,C2
SEC31A,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2
MFN2,response to topologically incorrect protein,GO:BP,C2
RTN3,regulation of protein metabolic process,GO:BP,C2
STBD1,Unmapped,NA,C2
TACC2,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
LYPLA2,Unmapped,NA,C2
IPO7,regulation of protein metabolic process,GO:BP,C2
AHSA1,Unmapped,NA,C2
ACSL3,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
CDS2,Unmapped,NA,C2
SNAP29,establishment of organelle localization,GO:BP,C2
AP2A1,positive regulation of cellular component organization,GO:BP,C2
DDAH2,negative regulation of apoptotic process,GO:BP,C2
ABHD16A,Unmapped,NA,C2
TXNDC12,negative regulation of apoptotic process,GO:BP,C2
CLPTM1,Unmapped,NA,C2
CYB5R3,Unmapped,NA,C2
GSR,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
F13A1,Unmapped,NA,C2
HPRT1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
MT-ATP6,Unmapped,NA,C2
CST3,regulation of protein metabolic process,GO:BP,C2
MB,Unmapped,NA,C2
CRYAB,protein stabilization,GO:BP,C2
TFRC,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
FTL,Unmapped,NA,C2
ANXA1,negative regulation of apoptotic process,GO:BP,C2
CAPNS1,Unmapped,NA,C2
HSPB1,chaperone-mediated protein folding,GO:BP,C2
RPN1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
RPN2,Unmapped,NA,C2
GNAI2,cell division,GO:BP,C2
ATP1A1,Unmapped,NA,C2
ATP1B1,protein stabilization,GO:BP,C2
ITGB1,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
GSN,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
PTMA,negative regulation of apoptotic process,GO:BP,C2
S100A6,Unmapped,NA,C2
EPHX1,Unmapped,NA,C2
LDHB,Unmapped,NA,C2
P4HB,response to endoplasmic reticulum stress,GO:BP,C2
ANXA2,regulation of protein metabolic process,GO:BP,C2
CAPN1,Unmapped,NA,C2
TUBB,cell division,GO:BP,C2
CA3,Unmapped,NA,C2
PFN1,protein stabilization,GO:BP,C2
EPRS1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
HSP90AA1,response to topologically incorrect protein,GO:BP,C2
ANXA6,Unmapped,NA,C2
HSP90AB1,chaperone-mediated protein folding,GO:BP,C2
ANXA5,negative regulation of apoptotic process,GO:BP,C2
CLTB,Unmapped,NA,C2
DLD,Unmapped,NA,C2
HNRNPA1,telomere maintenance via telomere lengthening,GO:BP,C2
IFIT2,Unmapped,NA,C2
UCHL1,establishment of organelle localization,GO:BP,C2
ALDOC,Unmapped,NA,C2
HSPA1A,chaperone-mediated protein folding,GO:BP,C2
RRAS,Unmapped,NA,C2
ARAF,regulation of protein metabolic process,GO:BP,C2
MAPT,establishment of organelle localization,GO:BP,C2
HSPA5,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
HSPA8,chaperone-mediated protein folding,GO:BP,C2
PYGM,Unmapped,NA,C2
LAMP1,establishment of organelle localization,GO:BP,C2
UBL4A,endomembrane system organization,GO:BP,C2
MTHFD1,Unmapped,NA,C2
HARS1,Unmapped,NA,C2
IMPDH2,Unmapped,NA,C2
PEPD,Unmapped,NA,C2
EEF2,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2
PDIA4,chaperone-mediated protein folding,GO:BP,C2
GYS1,Unmapped,NA,C2
MIF,regulation of protein metabolic process,GO:BP,C2
CD99,Unmapped,NA,C2
ACYP2,Unmapped,NA,C2
HSP90B1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
IDE,regulation of protein metabolic process,GO:BP,C2
DARS1,Unmapped,NA,C2
AKR1B1,negative regulation of apoptotic process,GO:BP,C2
GSPT1,regulation of protein metabolic process,GO:BP,C2
EZR,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
RPS2,regulation of protein metabolic process,GO:BP,C2
CBR1,Unmapped,NA,C2
ATP2A2,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
YBX3,regulation of protein metabolic process,GO:BP,C2
PRKACA,regulation of protein metabolic process,GO:BP,C2
CAPN2,positive regulation of cellular component organization,GO:BP,C2
PFKL,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
LGALS3,negative regulation of apoptotic process,GO:BP,C2
TCP1,chaperone-mediated protein folding,GO:BP,C2
RPL35A,cytoplasmic translation,GO:BP,C2
VCL,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
SRM,Unmapped,NA,C2
RAB6A,establishment of organelle localization,GO:BP,C2
CAST,negative regulation of apoptotic process,GO:BP,C2
PTMS,negative regulation of apoptotic process,GO:BP,C2
CSRP1,Unmapped,NA,C2
FLNA,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
GART,Unmapped,NA,C2
PAICS,Unmapped,NA,C2
SCP2,regulation of cellular localization,GO:BP,C2
PPIB,chaperone-mediated protein folding,GO:BP,C2
HRC,regulation of protein metabolic process,GO:BP,C2
WARS1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
RPS3,cell division,GO:BP,C2
AHCY,Unmapped,NA,C2
EIF4B,regulation of protein metabolic process,GO:BP,C2
EEF1B2,Unmapped,NA,C2
DNAJB2,chaperone-mediated protein folding,GO:BP,C2
PSMA3,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
MSN,regulation of protein metabolic process,GO:BP,C2
S100A4,Unmapped,NA,C2
TARS1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2
VARS1,Unmapped,NA,C2
EEF1G,Unmapped,NA,C2
PLN,endomembrane system organization,GO:BP,C2
YWHAQ,Unmapped,NA,C2
APEX1,Unmapped,NA,C2
CALR,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
MAP4,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2
CANX,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
PSMB4,Unmapped,NA,C2
PSMB5,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
MAPK1,regulation of protein metabolic process,GO:BP,C2
RBL1,regulation of cell cycle G1/S phase transition,GO:BP,C2
TPP2,Unmapped,NA,C2
EEF1D,cytoplasmic translation,GO:BP,C2
MARCKS,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
PRDX5,negative regulation of apoptotic process,GO:BP,C2
CMPK1,Unmapped,NA,C2
PPP2R1A,Unmapped,NA,C2
CLIP1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2
SERPINB1,regulation of protein metabolic process,GO:BP,C2
ALDH1B1,Unmapped,NA,C2
MAT2A,Unmapped,NA,C2
AKT2,response to topologically incorrect protein,GO:BP,C2
ATIC,Unmapped,NA,C2
YWHAB,Unmapped,NA,C2
STIP1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2
