gene,pathway,database,cluster
CAPZA1,Actin Filament Organization,GO:BP,C1
CRIP2,Unmapped,NA,C1
MYOM2,Myofibril Assembly,GO:BP,C1
RRAD,Unmapped,NA,C1
LAMB2,Muscle Cell Differentiation,GO:BP,C1
SEC13,Unmapped,NA,C1
HNRNPH2,Mrna Splicing,Reactome,C1
SH3BGR,Myogenesis,Hallmark,C1
EIF6,Membraneless Organelle Assembly,GO:BP,C1
EEFSEC,Metabolism Of Amino Acids And Derivatives,Reactome,C1
EIF3E,Cytoplasmic Translation,GO Slim,C1
GABARAPL2,Myogenesis,Hallmark,C1
MYL6,Muscle Organ Development,GO:BP,C1
ACTB,Apical Junction,Hallmark,C1
RAB5B,Unmapped,NA,C1
RPS3A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL15,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL37A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
DAD1,Unmapped,NA,C1
RRAS2,Unmapped,NA,C1
PPP1CA,Regulation Of Translation,GO:BP,C1
PPP1CB,Unmapped,NA,C1
UBE2G1,Unmapped,NA,C1
RPS14,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPS18,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
SNRPD2,Ribonucleoprotein Complex Biogenesis,GO:BP,C1
CNBP,Cytoplasmic Translation,GO Slim,C1
RPL23A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
H2BC4,Unmapped,NA,C1
RPL23,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPS15,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPS28,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL30,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL31,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL10A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL32,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL8,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
GRB2,Actin Filament Organization,GO:BP,C1
RPS21,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RACK1,Cytoplasmic Translation,GO Slim,C1
TNNC1,Striated Muscle Contraction,Reactome,C1
ACTA1,Striated Muscle Contraction,Reactome,C1
CSNK2A1,Negative Regulation Of Translation,GO:BP,C1
EIF4G2,Regulation Of Translation,GO:BP,C1
RPL24,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
ERH,Unmapped,NA,C1
RPL19,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
SRSF3,Mrna Splicing,Reactome,C1
H3-3A,Muscle Cell Differentiation,GO:BP,C1
FBLN2,Epithelial Mesenchymal Transition,Hallmark,C1
HSPG2,Ecm Proteoglycans,Reactome,C1
RBM3,RNA Splicing Via Transesterification Reactions,GO:BP,C1
MPP1,Unmapped,NA,C1
HDLBP,Unmapped,NA,C1
PURA,Negative Regulation Of Translation,GO:BP,C1
SORD,Unmapped,NA,C1
MYBPC1,Striated Muscle Contraction,Reactome,C1
SET,Unmapped,NA,C1
CAP1,Signaling By Robo Receptors,Reactome,C1
TAGLN,Muscle Organ Development,GO:BP,C1
RPL18A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL6,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
CAV1,Muscle Organ Development,GO:BP,C1
LMNB2,Unmapped,NA,C1
PRKCQ,Neuron Projection Guidance,GO:BP,C1
YWHAH,Apical Junction,Hallmark,C1
CALD1,Muscle Contraction,Reactome,C1
RPL18,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
DPT,Extracellular Matrix Organization,GO Slim,C1
SRSF1,Muscle System Process,GO:BP,C1
ACTN3,Striated Muscle Contraction,Reactome,C1
PPP3CA,Muscle Cell Differentiation,GO:BP,C1
SLC20A2,Unmapped,NA,C1
LMOD3,Myofibril Assembly,GO:BP,C1
NEXN,Apical Junction,Hallmark,C1
BST2,Unmapped,NA,C1
ASPH,Muscle Contraction,Reactome,C1
TRDN,Muscle Contraction,Reactome,C1
MYBPH,Myofibril Assembly,GO:BP,C1
G3BP1,Membraneless Organelle Assembly,GO:BP,C1
EIF3I,Cytoplasmic Translation,GO Slim,C1
CTBP1,Unmapped,NA,C1
SNTB2,Extracellular Matrix Organization,Reactome,C1
SF3B2,Ribonucleoprotein Complex Biogenesis,GO:BP,C1
MTM1,Muscle Organ Development,GO:BP,C1
CAMK2G,Muscle Contraction,Reactome,C1
FHL3,Muscle Organ Development,GO:BP,C1
ITGA7,Muscle Organ Development,GO:BP,C1
MOGS,Unmapped,NA,C1
DDX39B,Ribonucleoprotein Complex Biogenesis,GO:BP,C1
NID2,Epithelial Mesenchymal Transition,Hallmark,C1
UBAP2L,Membraneless Organelle Assembly,GO:BP,C1
FLOT2,Unmapped,NA,C1
MYBPC2,Striated Muscle Contraction,Reactome,C1
CAPRIN1,Membraneless Organelle Assembly,GO:BP,C1
MVP,Unmapped,NA,C1
LASP1,Unmapped,NA,C1
EMC2,Unmapped,NA,C1
PGM5,Myofibril Assembly,GO:BP,C1
NECTIN1,Apical Junction,Hallmark,C1
NONO,Unmapped,NA,C1
RAB35,Unmapped,NA,C1
PCBP2,Mrna Splicing,Reactome,C1
ELOC,Signaling By Robo Receptors,Reactome,C1
ELOB,Signaling By Robo Receptors,Reactome,C1
SF1,Ribonucleoprotein Complex Biogenesis,GO:BP,C1
SPEG,Muscle Cell Differentiation,GO:BP,C1
NEDD8,Unmapped,NA,C1
RBBP7,Unmapped,NA,C1
FLG2,Unmapped,NA,C1
NOMO2,Unmapped,NA,C1
WDR44,Unmapped,NA,C1
HP1BP3,Unmapped,NA,C1
DDI2,Unmapped,NA,C1
OBSCN,Myofibril Assembly,GO:BP,C1
MYOM3,Myofibril Assembly,GO:BP,C1
BROX,Unmapped,NA,C1
CRYBG3,Unmapped,NA,C1
ABLIM2,Unmapped,NA,C1
TWF2,Actin Filament Organization,GO:BP,C1
SLC25A24,Unmapped,NA,C1
LPCAT3,Unmapped,NA,C1
SFXN4,Unmapped,NA,C1
LMOD2,Myofibril Assembly,GO:BP,C1
CCDC137,Unmapped,NA,C1
CORO6,Actin Filament Organization,GO:BP,C1
NAPRT,Unmapped,NA,C1
UBN2,Unmapped,NA,C1
XIRP1,Actin Filament Organization,GO:BP,C1
SND1,Unmapped,NA,C1
SZRD1,Unmapped,NA,C1
HDGFL2,Muscle Cell Differentiation,GO:BP,C1
MYPN,Myofibril Assembly,GO:BP,C1
SRL,Unmapped,NA,C1
ACOT1,Unmapped,NA,C1
MDP1,Unmapped,NA,C1
SYNPO,Actomyosin Structure Organization,GO:BP,C1
SMYD1,Muscle Cell Differentiation,GO:BP,C1
SERBP1,Negative Regulation Of Translation,GO:BP,C1
NPLOC4,Unmapped,NA,C1
SPATA20,Unmapped,NA,C1
SPPL2A,Unmapped,NA,C1
PREX1,Actin Filament Organization,GO:BP,C1
MYOZ3,Unmapped,NA,C1
UTP15,Rrna Processing,Reactome,C1
PCNP,Unmapped,NA,C1
PALLD,Neuron Projection Guidance,GO:BP,C1
TTN,Striated Muscle Contraction,Reactome,C1
DDX1,Ribonucleoprotein Complex Biogenesis,GO:BP,C1
HSPH1,Unmapped,NA,C1
MYO18A,Actomyosin Structure Organization,GO:BP,C1
RABGGTA,Unmapped,NA,C1
TFG,Unmapped,NA,C1
RPL3L,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
RPL36AL,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
MTARC2,Unmapped,NA,C1
CCDC47,Unmapped,NA,C1
NUDT16,Ribosome Biogenesis,GO Slim,C1
MRRF,Translation,Reactome,C1
PDLIM5,Muscle Cell Differentiation,GO:BP,C1
CRELD1,Unmapped,NA,C1
PGAM5,Unmapped,NA,C1
NGLY1,Unmapped,NA,C1
PURB,Negative Regulation Of Translation,GO:BP,C1
PLEKHF1,Unmapped,NA,C1
MYCBP,Unmapped,NA,C1
ARPC5L,Actin Filament Organization,GO:BP,C1
MACROD1,Unmapped,NA,C1
JPH2,Muscle Organ Development,GO:BP,C1
CORO1B,Actin Filament Organization,GO:BP,C1
PELO,Rrna Metabolic Process,GO:BP,C1
NTMT1,Unmapped,NA,C1
SORBS1,Muscle Contraction,Reactome,C1
NAA15,Unmapped,NA,C1
OSBPL1A,Unmapped,NA,C1
EIF2A,Membraneless Organelle Assembly,GO:BP,C1
TRIM54,Regulation Of Protein Depolymerization,GO:BP,C1
UBL5,Mrna Splicing,Reactome,C1
TMEM38A,Muscle System Process,GO Slim,C1
MOB1A,Unmapped,NA,C1
SYNPO2L,Myofibril Assembly,GO:BP,C1
LRRC40,Unmapped,NA,C1
TNS1,Unmapped,NA,C1
PLGRKT,Unmapped,NA,C1
JPH1,Muscle Organ Development,GO:BP,C1
SSU72,Unmapped,NA,C1
MYOZ1,Myofibril Assembly,GO:BP,C1
MYOZ2,Myofibril Assembly,GO:BP,C1
OSGEP,Unmapped,NA,C1
PDLIM7,Myogenesis,Hallmark,C1
PARVA,Apical Junction,Hallmark,C1
BABAM1,Unmapped,NA,C1
BABAM2,Unmapped,NA,C1
TECR,Unmapped,NA,C1
TMOD4,Striated Muscle Contraction,Reactome,C1
CHMP5,Membraneless Organelle Assembly,GO:BP,C1
VAPA,Unmapped,NA,C1
RNF7,Unmapped,NA,C1
MYOT,Muscle System Process,GO Slim,C1
DNAJB4,Unmapped,NA,C1
TES,Unmapped,NA,C1
PACSIN3,Unmapped,NA,C1
AGO2,Membraneless Organelle Assembly,GO:BP,C1
MYH2,Myogenesis,Hallmark,C1
MYH13,Muscle System Process,GO Slim,C1
SYNPO2,Actin Filament Organization,GO:BP,C1
SNX12,Unmapped,NA,C1
G3BP2,Membraneless Organelle Assembly,GO:BP,C1
PACSIN2,Unmapped,NA,C1
PPP6R1,Unmapped,NA,C1
PA2G4,Ribosome Biogenesis,GO Slim,C1
RTRAF,Unmapped,NA,C1
APOBEC2,Unmapped,NA,C1
CFL2,Myofibril Assembly,GO:BP,C1
FNDC3A,Unmapped,NA,C1
TMX2,Unmapped,NA,C1
CAB39,Unmapped,NA,C1
RTCB,Unmapped,NA,C1
RPL36,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1
SNX5,Unmapped,NA,C1
MYH4,Myogenesis,Hallmark,C1
ESYT2,Unmapped,NA,C2
ILVBL,Unmapped,NA,C2
CARNS1,Unmapped,NA,C2
NACA,Unmapped,NA,C2
MYO1C,Cytoskeleton Dependent Intracellular Transport,GO:BP,C2
FXYD1,Unmapped,NA,C2
PSMD11,M Phase,Reactome,C2
PSMD12,M Phase,Reactome,C2
CLIC1,Unmapped,NA,C2
EIF3F,Cytoplasmic Translation,GO Slim,C2
DCTN6,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
IPO5,Positive Regulation Of Protein Localization To Nucleus,GO:BP,C2
PSMD14,M Phase,Reactome,C2
BIN1,Mitotic Spindle,Hallmark,C2
KPNA3,Interferon Signaling,Reactome,C2
HSPB6,Protein Folding,GO Slim,C2
PRMT5,Ribonucleoprotein Complex Biogenesis,GO:BP,C2
PSMA7,M Phase,Reactome,C2
CASQ2,Unmapped,NA,C2
HGS,Regulation Of Protein Catabolic Process,GO:BP,C2
ARPC1B,Rho Gtpase Effectors,Reactome,C2
PGRMC2,Rho Gtpase Cycle,Reactome,C2
SURF4,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
PMM2,Asparagine N Linked Glycosylation,Reactome,C2
EIF3H,Regulation Of Protein Catabolic Process,GO:BP,C2
STX7,Protein Localization To Plasma Membrane,GO Slim,C2
CYB5B,mTORC1 Signaling,Hallmark,C2
DYNC1LI2,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
PSMD3,M Phase,Reactome,C2
TXNL1,Rho Gtpase Cycle,Reactome,C2
TRAPPC3,Asparagine N Linked Glycosylation,Reactome,C2
GSTZ1,Unmapped,NA,C2
SYNGR2,Unmapped,NA,C2
NARS1,Translation,Reactome,C2
CALU,Unmapped,NA,C2
AHCYL1,Intracellular Signaling By Second Messengers,Reactome,C2
PPP1R12B,Mitotic G2 G2 M Phases,Reactome,C2
SPAG9,Unmapped,NA,C2
SYNCRIP,Cytoplasmic Translation,GO Slim,C2
KLHL41,Neddylation,Reactome,C2
PLIN3,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
KPNA6,DNA Replication Pre Initiation,Reactome,C2
EDF1,Unmapped,NA,C2
DNAJA2,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2
CUTA,Unmapped,NA,C2
WDR1,Unmapped,NA,C2
CPNE3,Neutrophil Degranulation,Reactome,C2
CAND2,Unmapped,NA,C2
RTN2,Unmapped,NA,C2
ATP6V1G1,Vesicle Organization,GO:BP,C2
FLNB,Mitotic Spindle,Hallmark,C2
SEC22B,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
VPS26A,Unmapped,NA,C2
EIF3G,Cytoplasmic Translation,GO Slim,C2
ARL6IP5,Protein Localization To Plasma Membrane,GO Slim,C2
DYSF,Unmapped,NA,C2
GLRX3,Unmapped,NA,C2
TMEM63A,Neutrophil Degranulation,Reactome,C2
SEC31A,Mhc Class Ii Antigen Presentation,Reactome,C2
MFN2,Autophagy,Reactome,C2
RTN3,Neuronal System,Reactome,C2
STBD1,Neutrophil Degranulation,Reactome,C2
TACC2,Spindle Organization,GO:BP,C2
LYPLA2,L1cam Interactions,Reactome,C2
IPO7,Positive Regulation Of Protein Localization To Nucleus,GO:BP,C2
AHSA1,Protein Folding,GO Slim,C2
ACSL3,mTORC1 Signaling,Hallmark,C2
CDS2,Unmapped,NA,C2
SNAP29,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
AP2A1,Mhc Class Ii Antigen Presentation,Reactome,C2
DDAH2,Unmapped,NA,C2
ABHD16A,Unmapped,NA,C2
TXNDC12,Response To Endoplasmic Reticulum Stress,GO:BP,C2
CLPTM1,Unmapped,NA,C2
CYB5R3,Neutrophil Degranulation,Reactome,C2
GSR,mTORC1 Signaling,Hallmark,C2
F13A1,Signaling By Interleukins,Reactome,C2
HPRT1,mTORC1 Signaling,Hallmark,C2
MT-ATP6,Unmapped,NA,C2
CST3,Regulation Of Protein Catabolic Process,GO:BP,C2
MB,Unmapped,NA,C2
CRYAB,Protein Folding,GO Slim,C2
TFRC,mTORC1 Signaling,Hallmark,C2
FTL,Neutrophil Degranulation,Reactome,C2
ANXA1,Signaling By Interleukins,Reactome,C2
CAPNS1,Unmapped,NA,C2
HSPB1,Protein Folding,GO Slim,C2
RPN1,mTORC1 Signaling,Hallmark,C2
RPN2,Asparagine N Linked Glycosylation,Reactome,C2
GNAI2,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2
ATP1A1,Unmapped,NA,C2
ATP1B1,Protein Localization To Plasma Membrane,GO Slim,C2
ITGB1,Protein Localization To Plasma Membrane,GO Slim,C2
GSN,Cilium Organization,GO Slim,C2
PTMA,Unmapped,NA,C2
S100A6,Unmapped,NA,C2
EPHX1,Unmapped,NA,C2
LDHB,Unmapped,NA,C2
P4HB,Protein Folding,GO Slim,C2
ANXA2,Regulation Of Protein Catabolic Process,GO:BP,C2
CAPN1,Variant Mutation Caused Aberrant Abeta To Anterograde Axonal Transport,KEGG,C2
TUBB,Cilium Assembly,Reactome,C2
CA3,Unmapped,NA,C2
PFN1,Pcp Ce Pathway,Reactome,C2
EPRS1,mTORC1 Signaling,Hallmark,C2
HSP90AA1,Cilium Assembly,Reactome,C2
ANXA6,Unmapped,NA,C2
HSP90AB1,Mitotic G2 G2 M Phases,Reactome,C2
ANXA5,Unmapped,NA,C2
CLTB,Pcp Ce Pathway,Reactome,C2
DLD,Unmapped,NA,C2
HNRNPA1,Regulation Of Telomere Maintenance Via Telomerase,GO:BP,C2
IFIT2,Interferon Signaling,Reactome,C2
UCHL1,Microtubule-Based Movement,GO Slim,C2
ALDOC,Neutrophil Degranulation,Reactome,C2
HSPA1A,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2
RRAS,Unmapped,NA,C2
ARAF,Regulation Of Protein Catabolic Process,GO:BP,C2
MAPT,Variant Mutation Caused Aberrant Abeta To Anterograde Axonal Transport,KEGG,C2
HSPA5,Protein Folding,GO Slim,C2
HSPA8,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2
PYGM,Unmapped,NA,C2
LAMP1,Microtubule-Based Movement,GO Slim,C2
UBL4A,Regulation Of Protein Stability,GO:BP,C2
MTHFD1,Unmapped,NA,C2
HARS1,Translation,Reactome,C2
IMPDH2,Neutrophil Degranulation,Reactome,C2
PEPD,Unmapped,NA,C2
EEF2,Unfolded Protein Response,Hallmark,C2
PDIA4,Protein Folding,GO Slim,C2
GYS1,Unmapped,NA,C2
MIF,Neutrophil Degranulation,Reactome,C2
CD99,Unmapped,NA,C2
ACYP2,Unmapped,NA,C2
HSP90B1,Protein Folding,GO Slim,C2
IDE,Regulation Of Protein Catabolic Process,GO:BP,C2
DARS1,Translation,Reactome,C2
AKR1B1,Unmapped,NA,C2
GSPT1,Translation,Reactome,C2
EZR,Regulation Of Protein Catabolic Process,GO:BP,C2
RPS2,Cytoplasmic Translation,GO Slim,C2
CBR1,Unmapped,NA,C2
ATP2A2,mTORC1 Signaling,Hallmark,C2
YBX3,Cytoplasmic Translation,GO Slim,C2
PRKACA,Cilium Assembly,Reactome,C2
CAPN2,Variant Mutation Caused Aberrant Abeta To Anterograde Axonal Transport,KEGG,C2
PFKL,mTORC1 Signaling,Hallmark,C2
LGALS3,Protein Localization To Plasma Membrane,GO Slim,C2
TCP1,Cilium Assembly,Reactome,C2
RPL35A,Cytoplasmic Translation,GO Slim,C2
VCL,Mitotic Spindle,Hallmark,C2
SRM,Metabolism Of Polyamines,Reactome,C2
RAB6A,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2
CAST,Unmapped,NA,C2
PTMS,Unmapped,NA,C2
CSRP1,Unmapped,NA,C2
FLNA,Regulation Of Protein Catabolic Process,GO:BP,C2
GART,Unmapped,NA,C2
PAICS,Unmapped,NA,C2
SCP2,Protein Localization To Plasma Membrane,GO Slim,C2
PPIB,Protein Folding,GO Slim,C2
HRC,Unmapped,NA,C2
WARS1,mTORC1 Signaling,Hallmark,C2
RPS3,Cytoplasmic Translation,GO Slim,C2
AHCY,Unmapped,NA,C2
EIF4B,Cytoplasmic Translation,GO Slim,C2
EEF1B2,Translation,Reactome,C2
DNAJB2,Protein Folding,GO Slim,C2
PSMA3,M Phase,Reactome,C2
MSN,Regulation Of Protein Catabolic Process,GO:BP,C2
S100A4,Unmapped,NA,C2
